Muscle_ID,Equipment_ID,Name,ID,Exercise_Type_ID
15,16,one-arm kettlebell jerk,482,1
15,16,one-arm kettlebell military press to the side,483,1
15,16,one-arm kettlebell para press,484,1
15,16,one-arm kettlebell push press,485,1
12,16,one-arm kettlebell row,486,1
15,16,one-arm kettlebell snatch,487,1
15,16,one-arm kettlebell split jerk,488,1
15,16,one-arm kettlebell split snatch,489,1
9,16,one-arm kettlebell swings,490,1
12,,one-arm long bar row,491,1
1,19,one-arm medicine ball slam,492,2
9,16,one-arm open palm kettlebell clean,493,1
14,16,one-arm overhead kettlebell squats,494,1
14,,one-arm side deadlift,495,1
15,,one-arm side laterals,496,2
8,4,one-legged cable kickback,497,1
9,16,open palm kettlebell clean,498,1
1,,otis-up,499,2
17,,overhead 17,500,1
4,4,overhead cable curl,501,1
10,,overhead lat,502,1
10,,overhead slam,503,1
14,,overhead squat,504,1
1,,overhead stretch,505,1
1,,pallof press with rotation,506,1
7,7,palms-down dumbbell wrist curl over a bench,507,1
7,,palms-down wrist curl over a bench,508,1
7,3,palms-up barbell wrist curl over a bench,509,1
7,7,palms-up dumbbell wrist curl over a bench,510,1
17,,parallel bar dip,511,2
11,,pelvic tilt into bridge,512,2
5,,peroneals stretch,513,2
5,,peroneals-smr,514,2
8,,physioball hip bridge,515,2
17,,pin presses,516,1
8,,piriformis-smr,517,1
1,,plank,518,2
1,,plank with twist,519,2
7,37,plate pinch,520,1
1,37,plate twist,521,1
9,,platform hamstring slides,522,1
14,7,plie dumbbell squat,523,1
6,16,plyo kettlebell pushups,524,1
6,,plyo push-up,525,1
5,,posterior tibialis stretch,526,1
9,,power clean,527,1
9,,power clean from blocks,528,1
14,,power jerk,529,1
15,,power partials,530,1
9,,power snatch,531,1
14,,power snatch from blocks,532,1
9,,power stairs,533,1
4,,preacher curl,534,1
4,7,preacher hammer dumbbell curl,535,1
1,,press sit-up,536,2
9,,prone manual hamstring,537,2
9,,prowler sprint,538,3
8,,pull through,539,2
10,,pullups,540,2
15,,push press,541,2
15,,push press - behind the 13,542,2
6,,push up to side plank,543,2
6,,push-up wide,544,2
17,,push-ups - close 17 position,545,2
6,,push-ups with feet elevated,546,2
6,,push-ups with feet on an exercise ball,547,2
6,,pushups,548,2
6,,pushups (close and wide hand positions),549,2
11,,pyramid,550,2
14,,quad stretch,551,2
14,,quick leap,552,2
15,,rack delivery,553,1
11,,rack pull with bands,554,1
11,,rack pulls,555,1
14,,rear leg raises,556,1
14,,recumbent bike,557,3
15,,return push from stance,558,1
17,,reverse 17 bench press,559,1
17,8,reverse band bench press,560,1
14,8,reverse band box squat,561,1
11,8,reverse band deadlift,562,1
14,8,reverse band power squat,563,1
9,8,reverse band sumo deadlift,564,1
4,3,reverse barbell curl,565,1
4,3,reverse barbell preacher curls,566,1
4,4,reverse cable curl,567,1
1,,reverse crunch,568,2
15,,reverse flyes,569,1
15,,reverse flyes with external rotation,570,1
17,,reverse grip 17 pushdown,571,1
12,,reverse grip bent-over rows,572,2
9,,reverse hyperextension,573,
15,36,reverse machine flyes,574,1
4,37,reverse plate curls,575,1
12,,rhomboids-smr,576,1
7,,rickshaw carry,577,1
14,,rickshaw deadlift,578,1
17,,ring dips,579,2
14,,rocket jump,580,1
5,,rocking standing calf raise,581,2
10,,rocky pull-ups/pulldowns,582,2
9,,romanian deadlift,583,1
9,,romanian deadlift from deficit,584,1
10,25,rope climb,585,2
1,25,rope crunch,586,2
14,25,rope jumping,587,2
10,25,rope straight-arm pulldown,588,2
15,,round the world shoulder stretch,589,2
14,,rowing stationary,590,3
9,,runner's stretch,591,2
14,33,running treadmill,592,3
1,,russian twist,593,2
14,,sandbag load,594,2
16,23,scapular pull-up,595,2
1,,scissor kick,596,2
14,,scissors jump,597,2
17,,seated 17 press,598,1
4,,seated 4,599,1
9,8,seated band hamstring curl,600,1
15,3,seated barbell military press,601,1
1,3,seated barbell twist,602,1
17,7,seated bent-over one-arm dumbbell 17 extension,603,1
15,,seated bent-over rear delt raise,604,1
17,7,seated bent-over two-arm dumbbell 17 extension,605,1
12,4,seated cable rows,606,1
15,4,seated cable shoulder press,607,1
5,,seated calf raise,608,2
5,,seated calf stretch,609,2
4,3,seated close-grip concentration barbell curl,610,1
4,7,seated dumbbell curl,611,1
4,7,seated dumbbell inner 4 curl,612,1
7,7,seated dumbbell palms-down wrist curl,613,1
7,7,seated dumbbell palms-up wrist curl,614,1
15,7,seated dumbbell press,615,1
1,,seated flat bench leg pull-in,616,2
9,,seated floor hamstring stretch,617,2
15,,seated front deltoid,618,1
8,,seated glute,619,1
11,,seated good mornings,620,1
9,,seated hamstring,621,1
9,,seated hamstring and calf stretch,622,2
13,,seated head harness 13 resistance,623,1
9,,seated leg curl,624,1
1,,seated leg tucks,625,1
12,4,seated one-arm cable pulley rows,626,1
7,7,seated one-arm dumbbell palms-down wrist curl,627,1
7,7,seated one-arm dumbbell palms-up wrist curl,628,1
1,,seated overhead stretch,629,2
7,3,seated palm-up barbell wrist curl,630,1
7,3,seated palms-down barbell wrist curl,631,1
15,,seated side lateral raise,632,1
7,,seated two-arm palms-up low-pulley wrist curl,633,1
15,,see-saw press (alternating side press),634,1
10,,shotgun row,635,1
15,,shoulder circles,636,2
15,,shoulder press - with bands,637,1
15,,shoulder raise,638,2
15,,shoulder stretch,639,2
13,,side 13 stretch,640,2
1,,side bridge,641,2
14,,side hop-sprint,642,3
1,,side jackknife,643,2
15,,side lateral raise,644,2
15,,side laterals to front raise,645,2
3,,side leg raises,646,2
3,,side lying groin stretch,647,2
14,,side standing long jump,648,2
14,,side to side box shuffle,649,2
10,,side to side chins,650,2
15,,side wrist pull,651,2
10,,side-lying floor stretch,652,2
15,7,single dumbbell raise,653,1
14,,single leg butt kick,654,2
8,,single leg glute bridge,655,2
14,,single leg push-off,656,2
6,4,single-arm cable crossover,657,1
15,,single-arm linear jammer,658,1
6,,single-arm push-up,659,2
14,,single-cone sprint drill,660,3
14,,single-leg high box squat,661,2
14,,single-leg hop progression,662,2
14,,single-leg lateral hop,663,2
14,,single-leg leg extension,664,2
14,,single-leg stride jump,665,2
14,,sit squats,666,2
1,,sit-up,667,2
14,,skating,668,3
14,,sled drag - harness,669,3
17,,sled overhead 17 extension,670,3
15,,sled overhead backward walk,671,3
14,,sled push,672,3
15,,sled reverse flye,673,3
12,,sled row,674,3
1,,sledgehammer swings,675,3
15,,smith incline shoulder raise,676,1
16,36,smith machine behind the back shrug,677,1
6,36,smith machine bench press,678,1
12,36,smith machine bent over row,679,1
5,36,smith machine calf raise,680,1
17,36,smith machine close-grip bench press,681,1
6,36,smith machine decline press,682,1
9,36,smith machine hang power clean,683,1
1,36,smith machine hip raise,684,1
6,36,smith machine incline bench press,685,1
14,36,smith machine leg press,686,1
15,36,smith machine one-arm upright row,687,1
15,36,smith machine overhead shoulder press,688,1
14,36,smith machine pistol squat,689,1
5,36,smith machine reverse calf raises,690,1
16,36,smith machine shrug,691,1
14,36,smith machine squat,692,1
9,36,smith machine stiff-legged deadlift,693,1
16,36,smith machine upright row,694,1
14,36,smith single-leg split squat,695,1
14,,snatch,696,1
14,,snatch balance,697,1
9,,snatch deadlift,698,1
14,,snatch from blocks,699,1
9,,snatch pull,700,1
16,,snatch shrug,701,1
17,8,speed band overhead 17,702,1
17,8,speed band pushdown,703,1
14,,speed box squat,704,1
14,,speed squats,705,2
1,,spell caster,706,1
1,,spider crawl,707,2
4,,spider curl,708,2
12,,spinal stretch,709,2
14,,split clean,710,1
14,,split jerk,711,1
14,,split jump,712,1
9,,split snatch,713,1
14,,split squat with dumbbells,714,1
9,,split squats,715,1
14,,squat jerk,716,1
14,,squat with bands,717,1
14,,squat with chains,718,1
14,37,squat with plate movers,719,1
14,,squats - with bands,720,1
14,,stairmaster,721,3
4,4,standing 4 cable curl,722,1
4,,standing 4 stretch,723,1
15,7,standing alternating dumbbell press,724,1
5,3,standing barbell calf raise,725,1
15,3,standing barbell press behind 13,726,1
17,7,standing bent-over one-arm dumbbell 17 extension,727,1
17,7,standing bent-over two-arm dumbbell 17 extension,728,1
15,,standing bradford press,729,1
6,4,standing cable 6 press,730,1
1,4,standing cable lift,731,1
1,4,standing cable wood chop,732,1
5,,standing calf raises,733,2
4,,standing concentration curl,734,1
17,7,standing dumbbell 17 extension,735,1
5,7,standing dumbbell calf raise,736,1
15,7,standing dumbbell press,737,1
4,7,standing dumbbell reverse curl,738,1
15,7,standing dumbbell straight-arm front delt raise above head,739,1
16,7,standing dumbbell upright row,740,1
14,,standing elevated quad stretch,741,1
15,3,standing front barbell raise over head,742,1
5,,standing gastrocnemius calf stretch,743,2
9,,standing hamstring and calf stretch,744,2
2,,standing hip circles,745,2
14,,standing hip flexors,746,2
4,,standing inner-4 curl,747,1
1,,standing lateral stretch,748,2
9,,standing leg curl,749,1
14,,standing long jump,750,2
15,,standing low-pulley deltoid raise,751,1
17,,standing low-pulley one-arm 17 extension,752,1
15,,standing military press,753,1
7,37,standing olympic plate hand squeeze,754,1
4,4,standing one-arm cable curl,755,1
17,7,standing one-arm dumbbell 17 extension,756,1
4,7,standing one-arm dumbbell curl over incline bench,757,1
17,3,standing overhead barbell 17 extension,758,1
15,7,standing palm-in one-arm dumbbell press,759,1
15,7,standing palms-in dumbbell press,760,1
7,3,standing palms-up barbell behind the back wrist curl,761,1
11,,standing pelvic tilt,762,2
1,25,standing rope crunch,763,1
5,,standing soleus and achilles stretch,764,2
9,,standing toe touches,765,2
17,,standing towel 17 extension,766,1
15,,standing two-arm overhead throw,767,1
14,,star jump,768,2
14,,step mill,769,2
8,,step-up with knee raise,770,2
11,3,stiff leg barbell good morning,771,1
9,3,stiff-legged barbell deadlift,772,1
9,7,stiff-legged dumbbell deadlift,773,1
1,,stomach vacuum,774,2
12,,straight bar bench mid rows,775,1
15,,straight raises on incline bench,776,1
6,7,straight-arm dumbbell pullover,777,1
10,,straight-arm pulldown,778,1
14,,stride jump crossover,779,2
9,,sumo deadlift,780,1
9,,sumo deadlift with bands,781,1
9,,sumo deadlift with chains,782,1
11,,superman,783,2
17,,supine 6 throw,784,1
1,,supine one-arm overhead throw,785,1
6,,suspended push-up,786,2
1,,suspended reverse crunch,787,2
12,,suspended row,788,1
14,,suspended split squat,789,1
12,,t-bar row with handle,790,1
17,,tate press,791,1
9,,the straddle,792,1
2,,thigh abductor,793,2
14,,tire flip,794,2
1,,toe touchers,795,2
